CountryName,CountryCode,Year,Crop production index (2004-2006 = 100)
Chad,TCD,1964,40.24
Chile,CHL,1964,31.2
China,CHN,1964,21.08
Colombia,COL,1964,34.89
Comoros,COM,1964,46.21
"Congo, Dem. Rep.",ZAR,1964,62.79
"Congo, Rep.",COG,1964,46.02
Costa Rica,CRI,1964,18.21
Cote d'Ivoire,CIV,1964,23.44
Croatia,HRV,1964,96.7
Cuba,CUB,1964,62.77
Cyprus,CYP,1964,90.5
Czech Republic,CZE,1964,93.7
Denmark,DNK,1964,67.96
Djibouti,DJI,1964,3.08
Dominica,DMA,1964,105.65
Dominican Republic,DOM,1964,72.96
Ecuador,ECU,1964,53.21
"Egypt, Arab Rep.",EGY,1964,28.21
El Salvador,SLV,1964,74.27
Equatorial Guinea,GNQ,1964,142.68
Eritrea,ERI,1964,102.4
Estonia,EST,1964,105.9
Ethiopia,ETH,1964,51.5
Faeroe Islands,FRO,1964,125.16
Fiji,FJI,1964,87.65
Finland,FIN,1964,55.13
France,FRA,1964,74.54
French Polynesia,PYF,1964,134.67
Gabon,GAB,1964,33.15
"Gambia, The",GMB,1964,71.87
Georgia,GEO,1964,135
Germany,DEU,1964,87.72
Ghana,GHA,1964,31.95
Greece,GRC,1964,48.34
Grenada,GRD,1964,134.26
Guam,GUM,1964,27.2
Guatemala,GTM,1964,25.52
Guinea,GIN,1964,34.88
Guinea-Bissau,GNB,1964,37.96
Guyana,GUY,1964,73.78
Haiti,HTI,1964,83.28
Honduras,HND,1964,35.74
"Hong Kong SAR, China",HKG,1964,190.35
Hungary,HUN,1964,67.82
Iceland,ISL,1964,38.78
India,IND,1964,36.69
Indonesia,IDN,1964,22.9
"Iran, Islamic Rep.",IRN,1964,13.47
Iraq,IRQ,1964,36.64
Ireland,IRL,1964,76.63
Israel,ISR,1964,41.12
Italy,ITA,1964,82.77
Jamaica,JAM,1964,120.88
Japan,JPN,1964,126.92
Jordan,JOR,1964,64.06
Kazakhstan,KAZ,1964,77.9
Kenya,KEN,1964,27.46
Kiribati,KIR,1964,39.63
"Korea, Dem. Rep.",PRK,1964,47.51
"Korea, Rep.",KOR,1964,46.37
Kuwait,KWT,1964,2.04
Kyrgyz Republic,KGZ,1964,47.9
Lao PDR,LAO,1964,24.34
Latvia,LVA,1964,89
Lebanon,LBN,1964,39.22
Lesotho,LSO,1964,88.54
Liberia,LBR,1964,47.67
Libya,LBY,1964,13.97
Liechtenstein,LIE,1964,65.74
Lithuania,LTU,1964,70.7
"Macao SAR, China",MAC,1964,25.91
Madagascar,MDG,1964,48.75
Malawi,MWI,1964,24.17
Malaysia,MYS,1964,17.81
Maldives,MDV,1964,59.53
Mali,MLI,1964,23.02
Malta,MLT,1964,59.19
Marshall Islands,MHL,1964,109.1
Mauritania,MRT,1964,52.02
Mauritius,MUS,1964,80.43
Mexico,MEX,1964,37.07
Moldova,MDA,1964,109.1
Mongolia,MNG,1964,113.97
Morocco,MAR,1964,31.94
Mozambique,MOZ,1964,57.26
Myanmar,MMR,1964,25.27
Namibia,NAM,1964,34.12
Nepal,NPL,1964,29.28
Netherlands,NLD,1964,56.81
New Caledonia,NCL,1964,142.43
New Zealand,NZL,1964,25.61
Nicaragua,NIC,1964,60.48
Niger,NER,1964,32.41
Nigeria,NGA,1964,25.01
Norway,NOR,1964,99.94
Oman,OMN,1964,17
Pakistan,PAK,1964,23.45
Panama,PAN,1964,71.08
Papua New Guinea,PNG,1964,38.24
Paraguay,PRY,1964,19.45
Peru,PER,1964,37.07
Philippines,PHL,1964,33.13
Poland,POL,1964,114.03
Portugal,PRT,1964,114.81
Puerto Rico,PRI,1964,516.21
Qatar,QAT,1964,15.74
Romania,ROM,1964,60.41
Russian Federation,RUS,1964,78.6
Rwanda,RWA,1964,27.71
Samoa,WSM,1964,113.05
